url,category_code,category_description,date_added,source,notes
https://ya.ru/,CTRL,Control - domestic,2026-09-04,rnfo,ru
https://mail.ru/,CTRL,Control - domestic,2026-09-04,rnfo,ru
https://www.gosuslugi.ru/,CTRL,Control - domestic,2026-09-04,rnfo,ru
https://www.cbr.ru/,CTRL,Control - domestic,2026-09-04,rnfo,ru
https://rutube.ru/,CTRL,Control - domestic,2026-09-04,rnfo,ru
https://example.com/,CTRL,Control - international,2026-09-04,rnfo,intl
https://www.iana.org/,CTRL,Control - international,2026-09-04,rnfo,intl
https://www.debian.org/,CTRL,Control - international,2026-09-04,rnfo,intl
https://www.kernel.org/,CTRL,Control - international,2026-09-04,rnfo,intl
https://www.python.org/,CTRL,Control - international,2026-09-04,rnfo,intl
